hohi_id,旅宿名稱,縣市鄉鎮,平日雙人房價,來源,查核日期,備註,google_maps
28628,有間寓背包旅宿民宿,澎湖縣湖西鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%9C%89%E9%96%93%E5%AF%93%E8%83%8C%E5%8C%85%E6%97%85%E5%AE%BF%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E6%B9%96%E8%A5%BF%E9%84%89%E6%B2%99%E6%B8%AF%E6%9D%9119%E9%84%B0%E6%B2%99%E6%B8%AF1%E4%B9%8B5%E8%99%9F
4683,嵵裡。仙人掌海景民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B5%B5%E8%A3%A1%E3%80%82%E4%BB%99%E4%BA%BA%E6%8E%8C%E6%B5%B7%E6%99%AF%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E5%B5%B5%E8%A3%A1%E9%87%8C11%E9%84%B0%E5%B5%B5%E8%A3%A1290%E8%99%9F
417,好事學田民宿,新北市瑞芳區,,,,,https://www.google.com/maps/search/?api=1&query=%E5%A5%BD%E4%BA%8B%E5%AD%B8%E7%94%B0%E6%B0%91%E5%AE%BF%20%E6%96%B0%E5%8C%97%E5%B8%82%E7%91%9E%E8%8A%B3%E5%8D%80%E7%91%9E%E8%8A%B3%E8%A1%9737%E8%99%9F
22037,愛上瑪黛民宿,臺東縣臺東市,,,,,https://www.google.com/maps/search/?api=1&query=%E6%84%9B%E4%B8%8A%E7%91%AA%E9%BB%9B%E6%B0%91%E5%AE%BF%20%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E5%90%89%E6%B3%B0%E8%B7%AF599%E5%B7%B728%E8%99%9F
15626,櫻田野民宿,花蓮縣吉安鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%AB%BB%E7%94%B0%E9%87%8E%E6%B0%91%E5%AE%BF%20%E8%8A%B1%E8%93%AE%E7%B8%A3%E5%90%89%E5%AE%89%E9%84%89%E7%A6%8F%E8%88%88%E6%9D%91%E7%A6%8F%E8%88%88%E4%B8%83%E8%A1%978%E8%99%9F
2212,山林渡假會館,南投縣埔里鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E5%B1%B1%E6%9E%97%E6%B8%A1%E5%81%87%E6%9C%83%E9%A4%A8%20%E5%8D%97%E6%8A%95%E7%B8%A3%E5%9F%94%E9%87%8C%E9%8E%AE%E8%9C%88%E8%9A%A3%E9%87%8C5%E9%84%B0%E9%AF%89%E9%AD%9A%E8%B7%AF21%E8%99%9F
12619,華蔓渡假會館,南投縣埔里鎮,,,,,https://www.google.com/maps/search/?api=1&query=%E8%8F%AF%E8%94%93%E6%B8%A1%E5%81%87%E6%9C%83%E9%A4%A8%20%E5%8D%97%E6%8A%95%E7%B8%A3%E5%9F%94%E9%87%8C%E9%8E%AE%E8%9C%88%E8%9A%A3%E9%87%8C5%E9%84%B0%E9%AF%89%E9%AD%9A%E8%B7%AF21-8%E8%99%9F
16650,君樂民宿,澎湖縣馬公市,,,,,https://www.google.com/maps/search/?api=1&query=%E5%90%9B%E6%A8%82%E6%B0%91%E5%AE%BF%20%E6%BE%8E%E6%B9%96%E7%B8%A3%E9%A6%AC%E5%85%AC%E5%B8%82%E8%88%88%E4%BB%81%E9%87%8C10%E9%84%B0%E9%9B%99%E9%A0%AD%E6%8E%9B260%E8%99%9F
22036,蘑菇30民宿,臺東縣臺東市,,,,,https://www.google.com/maps/search/?api=1&query=%E8%98%91%E8%8F%8730%E6%B0%91%E5%AE%BF%20%E8%87%BA%E6%9D%B1%E7%B8%A3%E8%87%BA%E6%9D%B1%E5%B8%82%E5%90%89%E6%B3%B0%E8%B7%AF599%E5%B7%B730%E8%99%9F
28608,水連田日式庭院,宜蘭縣五結鄉,,,,,https://www.google.com/maps/search/?api=1&query=%E6%B0%B4%E9%80%A3%E7%94%B0%E6%97%A5%E5%BC%8F%E5%BA%AD%E9%99%A2%20%E5%AE%9C%E8%98%AD%E7%B8%A3%E4%BA%94%E7%B5%90%E9%84%89%E5%A4%A7%E5%90%89%E4%BA%8C%E8%B7%AF456%E8%99%9F
